id,geo_pcode
dpto_sv_dte.Cat_013_001
dpto_sv_dte.Cat_013_002,SV01002
dpto_sv_dte.Cat_013_003,SV01001
dpto_sv_dte.Cat_013_004,SV01003
dpto_sv_dte.Cat_013_005,SV12003
dpto_sv_dte.Cat_013_006,SV12001
dpto_sv_dte.Cat_013_007,SV12002
dpto_sv_dte.Cat_013_008,SV12004
dpto_sv_dte.Cat_013_009,SV13003
dpto_sv_dte.Cat_013_010,SV13001
dpto_sv_dte.Cat_013_011,SV13002
dpto_sv_dte.Cat_013_012,SV13004
dpto_sv_dte.Cat_013_013,SV03002
dpto_sv_dte.Cat_013_014,SV03001
dpto_sv_dte.Cat_013_015,SV03003
dpto_sv_dte.Cat_013_016,SV05004
dpto_sv_dte.Cat_013_017,SV05001
dpto_sv_dte.Cat_013_018,SV05005
dpto_sv_dte.Cat_013_019,SV05003
dpto_sv_dte.Cat_013_020,SV05002
dpto_sv_dte.Cat_013_021,SV05006
dpto_sv_dte.Cat_013_022,SV10003
dpto_sv_dte.Cat_013_023,SV10004
dpto_sv_dte.Cat_013_024,SV10002
dpto_sv_dte.Cat_013_025,SV10001
dpto_sv_dte.Cat_013_026,SV10005
dpto_sv_dte.Cat_013_027,SV04001
dpto_sv_dte.Cat_013_029,SV04002
dpto_sv_dte.Cat_013_030,SV06003
dpto_sv_dte.Cat_013_031,SV06001
dpto_sv_dte.Cat_013_032,SV06002
dpto_sv_dte.Cat_013_033,SV02002
dpto_sv_dte.Cat_013_034,SV02001
dpto_sv_dte.Cat_013_035,SV11001
dpto_sv_dte.Cat_013_036,SV11002
dpto_sv_dte.Cat_013_037,SV14002
dpto_sv_dte.Cat_013_038,SV14001
dpto_sv_dte.Cat_013_039,SV14003
dpto_sv_dte.Cat_013_040,SV09002
dpto_sv_dte.Cat_013_041,SV09001
dpto_sv_dte.Cat_013_042,SV09003
dpto_sv_dte.Cat_013_043,SV08001
dpto_sv_dte.Cat_013_044,SV08002
dpto_sv_dte.Cat_013_045,SV07001
dpto_sv_dte.Cat_013_046,SV07002
