'codigo_DEPARTAMENTO','codigo_MUNICIPIO','nombre_MUNICIPIO',,
'01','01','AHUACHAPAN','dpto_sv_dte','dpto_sv_dte.01'
'01','02','APANECA','dpto_sv_dte','dpto_sv_dte.01'
'01','03','ATIQUIZAYA','dpto_sv_dte','dpto_sv_dte.01'
'01','04','CONCEPCION DE ATACO','dpto_sv_dte','dpto_sv_dte.01'
'01','05','EL REFUGIO','dpto_sv_dte','dpto_sv_dte.01'
'01','06','GUAYMANGO','dpto_sv_dte','dpto_sv_dte.01'
'01','07','JUJUTLA','dpto_sv_dte','dpto_sv_dte.01'
'01','08','SAN FRANCISCO MENENDEZ','dpto_sv_dte','dpto_sv_dte.01'
'01','09','SAN LORENZO','dpto_sv_dte','dpto_sv_dte.01'
'01','10','SAN PEDRO PUXTLA','dpto_sv_dte','dpto_sv_dte.01'
'01','11','TACUBA','dpto_sv_dte','dpto_sv_dte.01'
'01','12','TURIN','dpto_sv_dte','dpto_sv_dte.01'
'02','01','CANDELARIA DE LA FRONTERA','dpto_sv_dte','dpto_sv_dte.02'
'02','02','COATEPEQUE','dpto_sv_dte','dpto_sv_dte.02'
'02','03','CHALCHUAPA','dpto_sv_dte','dpto_sv_dte.02'
'02','04','EL CONGO','dpto_sv_dte','dpto_sv_dte.02'
'02','05','EL PORVENIR','dpto_sv_dte','dpto_sv_dte.02'
'02','06','MASAHUAT','dpto_sv_dte','dpto_sv_dte.02'
'02','07','METAPAN','dpto_sv_dte','dpto_sv_dte.02'
'02','08','SAN ANTONIO PAJONAL','dpto_sv_dte','dpto_sv_dte.02'
'02','09','SAN SEBASTIAN SALITRILLO','dpto_sv_dte','dpto_sv_dte.02'
'02','10','SANTA ANA','dpto_sv_dte','dpto_sv_dte.02'
'02','11','STA ROSA GUACHI','dpto_sv_dte','dpto_sv_dte.02'
'02','12','STGO D LA FRONT','dpto_sv_dte','dpto_sv_dte.02'
'02','13','TEXISTEPEQUE','dpto_sv_dte','dpto_sv_dte.02'
'03','01','ACAJUTLA','dpto_sv_dte','dpto_sv_dte.03'
'03','02','ARMENIA','dpto_sv_dte','dpto_sv_dte.03'
'03','03','CALUCO','dpto_sv_dte','dpto_sv_dte.03'
'03','04','CUISNAHUAT','dpto_sv_dte','dpto_sv_dte.03'
'03','05','STA I ISHUATAN','dpto_sv_dte','dpto_sv_dte.03'
'03','06','IZALCO','dpto_sv_dte','dpto_sv_dte.03'
'03','07','JUAYUA','dpto_sv_dte','dpto_sv_dte.03'
'03','08','NAHUIZALCO','dpto_sv_dte','dpto_sv_dte.03'
'03','09','NAHULINGO','dpto_sv_dte','dpto_sv_dte.03'
'03','10','SALCOATITAN','dpto_sv_dte','dpto_sv_dte.03'
'03','11','SAN ANTONIO DEL MONTE','dpto_sv_dte','dpto_sv_dte.03'
'03','12','SAN JULIAN','dpto_sv_dte','dpto_sv_dte.03'
'03','13','STA C MASAHUAT','dpto_sv_dte','dpto_sv_dte.03'
'03','14','SANTO DOMINGO GUZMAN','dpto_sv_dte','dpto_sv_dte.03'
'03','15','SONSONATE','dpto_sv_dte','dpto_sv_dte.03'
'03','16','SONZACATE','dpto_sv_dte','dpto_sv_dte.03'
'04','01','AGUA CALIENTE','dpto_sv_dte','dpto_sv_dte.04'
'04','02','ARCATAO','dpto_sv_dte','dpto_sv_dte.04'
'04','03','AZACUALPA','dpto_sv_dte','dpto_sv_dte.04'
'04','04','CITALA','dpto_sv_dte','dpto_sv_dte.04'
