id,code,name,dpto_id/id
dpto_01,dpto_sv_dte.01_1,Ahuachapan,dpto_sv_dte.01
dpto_02,dpto_sv_dte.01_2,Apaneca,dpto_sv_dte.01
dpto_03,dpto_sv_dte.01_3,Atiquizaya,dpto_sv_dte.01
dpto_04,dpto_sv_dte.01_4,Concepcion De Ataco,dpto_sv_dte.01
dpto_05,dpto_sv_dte.01_5,El Refugio,dpto_sv_dte.01
dpto_06,dpto_sv_dte.01_6,Guaymango,dpto_sv_dte.01
dpto_07,dpto_sv_dte.01_7,Jujutla,dpto_sv_dte.01
dpto_08,dpto_sv_dte.01_8,San Francisco Menendez,dpto_sv_dte.01
dpto_09,dpto_sv_dte.01_9,San Lorenzo,dpto_sv_dte.01
dpto_10,dpto_sv_dte.01_10,San Pedro Puxtla,dpto_sv_dte.01
dpto_11,dpto_sv_dte.01_11,Tacuba,dpto_sv_dte.01
dpto_12,dpto_sv_dte.01_12,Turin,dpto_sv_dte.01
dpto_13,dpto_sv_dte.02_1,Candelaria De La Frontera,dpto_sv_dte.02
dpto_14,dpto_sv_dte.02_2,Coatepeque,dpto_sv_dte.02
dpto_15,dpto_sv_dte.02_3,Chalchuapa,dpto_sv_dte.02
dpto_16,dpto_sv_dte.02_4,El Congo,dpto_sv_dte.02
dpto_17,dpto_sv_dte.02_5,El Porvenir,dpto_sv_dte.02
dpto_18,dpto_sv_dte.02_6,Masahuat,dpto_sv_dte.02
dpto_19,dpto_sv_dte.02_7,Metapan,dpto_sv_dte.02
dpto_20,dpto_sv_dte.02_8,San Antonio Pajonal,dpto_sv_dte.02
dpto_21,dpto_sv_dte.02_9,San Sebastian Salitrillo,dpto_sv_dte.02
dpto_22,dpto_sv_dte.02_10,Santa Ana,dpto_sv_dte.02
dpto_23,dpto_sv_dte.02_11,Santa Rosa Guachipilin,dpto_sv_dte.02
dpto_24,dpto_sv_dte.02_12,Santiago De La Frontera,dpto_sv_dte.02
dpto_25,dpto_sv_dte.02_13,Texistepeque,dpto_sv_dte.02
dpto_26,dpto_sv_dte.03_1,Acajutla,dpto_sv_dte.03
dpto_27,dpto_sv_dte.03_2,Armenia,dpto_sv_dte.03
dpto_28,dpto_sv_dte.03_3,Caluco,dpto_sv_dte.03
dpto_29,dpto_sv_dte.03_4,Cuisnahuat,dpto_sv_dte.03
dpto_30,dpto_sv_dte.03_5,Santa Isabel Ishuatan,dpto_sv_dte.03
dpto_31,dpto_sv_dte.03_6,Izalco,dpto_sv_dte.03
dpto_32,dpto_sv_dte.03_7,Juayua,dpto_sv_dte.03
dpto_33,dpto_sv_dte.03_8,Nahuizalco,dpto_sv_dte.03
dpto_34,dpto_sv_dte.03_9,Nahulingo,dpto_sv_dte.03
dpto_35,dpto_sv_dte.03_10,Salcoatitan,dpto_sv_dte.03
dpto_36,dpto_sv_dte.03_11,San Antonio Del Monte,dpto_sv_dte.03
dpto_37,dpto_sv_dte.03_12,San Julian,dpto_sv_dte.03
dpto_38,dpto_sv_dte.03_13,Santa Catarina Masahuat,dpto_sv_dte.03
dpto_39,dpto_sv_dte.03_14,Santo Domingo Guzman,dpto_sv_dte.03
dpto_40,dpto_sv_dte.03_15,Sonsonate,dpto_sv_dte.03
dpto_41,dpto_sv_dte.03_16,Sonzacate,dpto_sv_dte.03
dpto_42,dpto_sv_dte.04_1,Agua Caliente,dpto_sv_dte.04
dpto_43,dpto_sv_dte.04_2,Arcatao,dpto_sv_dte.04
dpto_44,dpto_sv_dte.04_3,Azacualpa,dpto_sv_dte.04
dpto_45,dpto_sv_dte.04_4,Citala,dpto_sv_dte.04
dpto_46,dpto_sv_dte.04_5,Comalapa,dpto_sv_dte.04
dpto_47,dpto_sv_dte.04_6,Concepcion Quezaltepeque,dpto_sv_dte.04
dpto_48,dpto_sv_dte.04_7,Chalatenango,dpto_sv_dte.04
dpto_49,dpto_sv_dte.04_8,Dulce Nombre de  Maria,dpto_sv_dte.04
dpto_50,dpto_sv_dte.04_9,El Carrizal,dpto_sv_dte.04
dpto_51,dpto_sv_dte.04_10,El Paraiso,dpto_sv_dte.04
dpto_52,dpto_sv_dte.04_11,La Laguna,dpto_sv_dte.04
dpto_53,dpto_sv_dte.04_12,La Palma,dpto_sv_dte.04
dpto_54,dpto_sv_dte.04_13,La Reina,dpto_sv_dte.04
dpto_55,dpto_sv_dte.04_14,Las Vueltas,dpto_sv_dte.04
dpto_56,dpto_sv_dte.04_15,Nombre De Jesus,dpto_sv_dte.04
dpto_57,dpto_sv_dte.04_16,Nueva Concepcion,dpto_sv_dte.04
dpto_58,dpto_sv_dte.04_17,Nueva Trinidad,dpto_sv_dte.04
dpto_59,dpto_sv_dte.04_18,Ojos De Agua,dpto_sv_dte.04
dpto_60,dpto_sv_dte.04_19,Potonico,dpto_sv_dte.04
dpto_61,dpto_sv_dte.04_20,San Antonio de  La Cruz,dpto_sv_dte.04
dpto_62,dpto_sv_dte.04_21,San Antonio Los Ranchos,dpto_sv_dte.04
dpto_63,dpto_sv_dte.04_22,San Fernando,dpto_sv_dte.04
dpto_64,dpto_sv_dte.04_23,San Francisco Lempa,dpto_sv_dte.04
dpto_65,dpto_sv_dte.04_24,San Francisco Morazan,dpto_sv_dte.04
dpto_66,dpto_sv_dte.04_25,San Ignacio,dpto_sv_dte.04
dpto_67,dpto_sv_dte.04_26,San Isidro Labrador,dpto_sv_dte.04
dpto_68,dpto_sv_dte.04_27,San Jose Cancasque,dpto_sv_dte.04
dpto_69,dpto_sv_dte.04_28,San Jose Flores,dpto_sv_dte.04
dpto_70,dpto_sv_dte.04_29,San Luis Carmen,dpto_sv_dte.04
dpto_71,dpto_sv_dte.04_30,San Miguel de  Mercedes,dpto_sv_dte.04
dpto_72,dpto_sv_dte.04_31,San Rafael,dpto_sv_dte.04
dpto_73,dpto_sv_dte.04_32,Santa Rita,dpto_sv_dte.04
dpto_74,dpto_sv_dte.04_33,Tejutla,dpto_sv_dte.04
dpto_75,dpto_sv_dte.05_1,Antiguo Cuscatlan,dpto_sv_dte.05
dpto_76,dpto_sv_dte.05_2,Ciudad Arce,dpto_sv_dte.05
dpto_77,dpto_sv_dte.05_3,Colon,dpto_sv_dte.05
dpto_78,dpto_sv_dte.05_4,Comasagua,dpto_sv_dte.05
dpto_79,dpto_sv_dte.05_5,Chiltiupan,dpto_sv_dte.05
dpto_80,dpto_sv_dte.05_6,Huizucar,dpto_sv_dte.05
dpto_81,dpto_sv_dte.05_7,Jayaque,dpto_sv_dte.05
dpto_82,dpto_sv_dte.05_8,Jicalapa,dpto_sv_dte.05
dpto_83,dpto_sv_dte.05_9,La Libertad,dpto_sv_dte.05
dpto_84,dpto_sv_dte.05_10,Nuevo Cuscatlan,dpto_sv_dte.05
dpto_85,dpto_sv_dte.05_11,Santa Tecla,dpto_sv_dte.05
dpto_86,dpto_sv_dte.05_12,Quezaltepeque,dpto_sv_dte.05
dpto_87,dpto_sv_dte.05_13,Sacacoyo,dpto_sv_dte.05
dpto_88,dpto_sv_dte.05_14,San Jose Villanueva,dpto_sv_dte.05
dpto_89,dpto_sv_dte.05_15,San Juan Opico,dpto_sv_dte.05
dpto_90,dpto_sv_dte.05_16,San Matias,dpto_sv_dte.05
dpto_91,dpto_sv_dte.05_17,San Pablo Tacachico,dpto_sv_dte.05
dpto_92,dpto_sv_dte.05_18,Tamanique,dpto_sv_dte.05
dpto_93,dpto_sv_dte.05_19,Talnique,dpto_sv_dte.05
dpto_94,dpto_sv_dte.05_20,Teotepeque,dpto_sv_dte.05
dpto_95,dpto_sv_dte.05_21,Tepecoyo,dpto_sv_dte.05
dpto_96,dpto_sv_dte.05_22,Zaragoza,dpto_sv_dte.05
dpto_97,dpto_sv_dte.06_1,Aguilares,dpto_sv_dte.06
dpto_98,dpto_sv_dte.06_2,Apopa,dpto_sv_dte.06
dpto_99,dpto_sv_dte.06_3,Ayutuxtepeque,dpto_sv_dte.06
dpto_100,dpto_sv_dte.06_4,Cuscatancingo,dpto_sv_dte.06
dpto_101,dpto_sv_dte.06_5,El Paisnal,dpto_sv_dte.06
dpto_102,dpto_sv_dte.06_6,Guazapa,dpto_sv_dte.06
