id,code,name,dpto_id/id
Cat_013_001,00,"Otro País",dpto_sv_dte.00
Cat_013_002,13,"AHUACHAPÁN NORTE",dpto_sv_dte.01
Cat_013_003,14,"AHUACHAPÁN CENTRO",dpto_sv_dte.01
Cat_013_004,15,"AHUACHAPÁN SUR",dpto_sv_dte.01
Cat_013_005,14,"SANTA ANA NORTE",dpto_sv_dte.02
Cat_013_006,15,"SANTA ANA CENTRO",dpto_sv_dte.02
Cat_013_007,16,"SANTA ANA ESTE",dpto_sv_dte.02
Cat_013_008,17,"SANTA ANA OESTE",dpto_sv_dte.02
Cat_013_009,17,"SONSONATE NORTE",dpto_sv_dte.03
Cat_013_010,18,"SONSONATE CENTRO",dpto_sv_dte.03
Cat_013_011,19,"SONSONATE ESTE",dpto_sv_dte.03
Cat_013_012,20,"SONSONATE OESTE",dpto_sv_dte.03
Cat_013_013,34,"CHALATENANGO NORTE",dpto_sv_dte.04
Cat_013_014,35,"CHALATENANGO CENTRO",dpto_sv_dte.04
Cat_013_015,36,"CHALATENANGO SUR",dpto_sv_dte.04
Cat_013_016,23,"LA LIBERTAD NORTE",dpto_sv_dte.05
Cat_013_017,24,"LA LIBERTAD CENTRO",dpto_sv_dte.05
Cat_013_018,25,"LA LIBERTAD OESTE",dpto_sv_dte.05
Cat_013_019,26,"LA LIBERTAD ESTE",dpto_sv_dte.05
Cat_013_020,27,"LA LIBERTAD COSTA",dpto_sv_dte.05
Cat_013_021,28,"LA LIBERTAD SUR",dpto_sv_dte.05
Cat_013_022,20,"SAN SALVADOR NORTE",dpto_sv_dte.06
Cat_013_023,21,"SAN SALVADOR OESTE",dpto_sv_dte.06
Cat_013_024,22,"SAN SALVADOR ESTE",dpto_sv_dte.06
Cat_013_025,23,"SAN SALVADOR CENTRO",dpto_sv_dte.06
Cat_013_026,24,"SAN SALVADOR SUR",dpto_sv_dte.06
Cat_013_027,17,"CUSCATLÁN NORTE",dpto_sv_dte.07
Cat_013_029,18,"CUSCATLÁN SUR",dpto_sv_dte.07
Cat_013_030,23,"LA PAZ OESTE",dpto_sv_dte.08
Cat_013_031,24,"LA PAZ CENTRO",dpto_sv_dte.08
Cat_013_032,25,"LA PAZ ESTE",dpto_sv_dte.08
Cat_013_033,10,"CABAÑAS OESTE",dpto_sv_dte.09
Cat_013_034,11,"CABAÑAS ESTE",dpto_sv_dte.09
Cat_013_035,14,"SAN VICENTE NORTE",dpto_sv_dte.10
Cat_013_036,15,"SAN VICENTE SUR",dpto_sv_dte.10
Cat_013_037,24,"USULUTÁN NORTE",dpto_sv_dte.11
Cat_013_038,25,"USULUTÁN ESTE",dpto_sv_dte.11
Cat_013_039,26,"USULUTÁN OESTE",dpto_sv_dte.11
Cat_013_040,21,"SAN MIGUEL NORTE",dpto_sv_dte.12
Cat_013_041,22,"SAN MIGUEL CENTRO",dpto_sv_dte.12
Cat_013_042,23,"SAN MIGUEL OESTE",dpto_sv_dte.12
Cat_013_043,27,"MORAZÁN NORTE",dpto_sv_dte.13
Cat_013_044,28,"MORAZÁN SUR",dpto_sv_dte.13
Cat_013_045,19,"LA UNIÓN NORTE",dpto_sv_dte.14
Cat_013_046,20,"LA UNIÓN SUR",dpto_sv_dte.14
