id,code,name,dpto_id/id,shape_id
dpto_01,l10n_sv_dpto.01_1,Ahuachapan,l10n_sv_dpto.01,79315794B66160395082185
dpto_02,l10n_sv_dpto.01_2,Apaneca,l10n_sv_dpto.01,79315794B55862864187575
dpto_03,l10n_sv_dpto.01_3,Atiquizaya,l10n_sv_dpto.01,79315794B89742323976161
dpto_04,l10n_sv_dpto.01_4,Concepcion De Ataco,l10n_sv_dpto.01,79315794B79197720155257
dpto_05,l10n_sv_dpto.01_5,El Refugio,l10n_sv_dpto.01,79315794B9251356141364
dpto_06,l10n_sv_dpto.01_6,Guaymango,l10n_sv_dpto.01,79315794B28881151694669
dpto_07,l10n_sv_dpto.01_7,Jujutla,l10n_sv_dpto.01,79315794B39024249178048
dpto_08,l10n_sv_dpto.01_8,San Francisco Menendez,l10n_sv_dpto.01,79315794B79083101241922
dpto_09,l10n_sv_dpto.01_9,San Lorenzo,l10n_sv_dpto.01,79315794B87184016515071
dpto_10,l10n_sv_dpto.01_10,San Pedro Puxtla,l10n_sv_dpto.01,79315794B15656170761349
dpto_11,l10n_sv_dpto.01_11,Tacuba,l10n_sv_dpto.01,79315794B46702260316580
dpto_12,l10n_sv_dpto.01_12,Turin,l10n_sv_dpto.01,79315794B12195007056985
dpto_13,l10n_sv_dpto.02_1,Candelaria De La Frontera,l10n_sv_dpto.02,79315794B59172215696932
dpto_14,l10n_sv_dpto.02_2,Coatepeque,l10n_sv_dpto.02,79315794B83892648288540
dpto_15,l10n_sv_dpto.02_3,Chalchuapa,l10n_sv_dpto.02,79315794B37288468321853
dpto_16,l10n_sv_dpto.02_4,El Congo,l10n_sv_dpto.02,79315794B22688321634374
dpto_17,l10n_sv_dpto.02_5,El Porvenir,l10n_sv_dpto.02,79315794B64190387367704
dpto_18,l10n_sv_dpto.02_6,Masahuat,l10n_sv_dpto.02,79315794B43764997536293
dpto_19,l10n_sv_dpto.02_7,Metapan,l10n_sv_dpto.02,79315794B39716391239783
dpto_20,l10n_sv_dpto.02_8,San Antonio Pajonal,l10n_sv_dpto.02,79315794B23377329040310
dpto_21,l10n_sv_dpto.02_9,San Sebastian Salitrillo,l10n_sv_dpto.02,79315794B69252681514756
dpto_22,l10n_sv_dpto.02_10,Santa Ana,l10n_sv_dpto.02,79315794B33324445262057
dpto_23,l10n_sv_dpto.02_11,Santa Rosa Guachipilin,l10n_sv_dpto.02,79315794B11387427792539
dpto_24,l10n_sv_dpto.02_12,Santiago De La Frontera,l10n_sv_dpto.02,79315794B9144970465334
dpto_25,l10n_sv_dpto.02_13,Texistepeque,l10n_sv_dpto.02,79315794B47376975078069
dpto_26,l10n_sv_dpto.03_1,Acajutla,l10n_sv_dpto.03,79315794B43866171766073
dpto_27,l10n_sv_dpto.03_2,Armenia,l10n_sv_dpto.03,79315794B93116045518759
dpto_28,l10n_sv_dpto.03_3,Caluco,l10n_sv_dpto.03,79315794B15699975007255
dpto_29,l10n_sv_dpto.03_4,Cuisnahuat,l10n_sv_dpto.03,79315794B16332019908900
dpto_30,l10n_sv_dpto.03_5,Santa Isabel Ishuatan,l10n_sv_dpto.03,79315794B93813443509848
dpto_31,l10n_sv_dpto.03_6,Izalco,l10n_sv_dpto.03,79315794B52861243769540
dpto_32,l10n_sv_dpto.03_7,Juayua,l10n_sv_dpto.03,79315794B4884982694347
dpto_33,l10n_sv_dpto.03_8,Nahuizalco,l10n_sv_dpto.03,79315794B56426734857576
dpto_34,l10n_sv_dpto.03_9,Nahulingo,l10n_sv_dpto.03,79315794B27237930085437
dpto_35,l10n_sv_dpto.03_10,Salcoatitan,l10n_sv_dpto.03,79315794B92083605732567
