id,code,name,dpto_id/id
Cat_013_001,00,"Otro País",l10n_sv_dpto.00
Cat_013_002,13,"AHUACHAPÁN NORTE",l10n_sv_dpto.01
Cat_013_003,14,"AHUACHAPÁN CENTRO",l10n_sv_dpto.01
Cat_013_004,15,"AHUACHAPÁN SUR",l10n_sv_dpto.01
Cat_013_005,14,"SANTA ANA NORTE",l10n_sv_dpto.02
Cat_013_006,15,"SANTA ANA CENTRO",l10n_sv_dpto.02
Cat_013_007,16,"SANTA ANA ESTE",l10n_sv_dpto.02
Cat_013_008,17,"SANTA ANA OESTE",l10n_sv_dpto.02
Cat_013_009,17,"SONSONATE NORTE",l10n_sv_dpto.03
Cat_013_010,18,"SONSONATE CENTRO",l10n_sv_dpto.03
Cat_013_011,19,"SONSONATE ESTE",l10n_sv_dpto.03
Cat_013_012,20,"SONSONATE OESTE",l10n_sv_dpto.03
Cat_013_013,34,"CHALATENANGO NORTE",l10n_sv_dpto.04
Cat_013_014,35,"CHALATENANGO CENTRO",l10n_sv_dpto.04
Cat_013_015,36,"CHALATENANGO SUR",l10n_sv_dpto.04
Cat_013_016,23,"LA LIBERTAD NORTE",l10n_sv_dpto.05
Cat_013_017,24,"LA LIBERTAD CENTRO",l10n_sv_dpto.05
Cat_013_018,25,"LA LIBERTAD OESTE",l10n_sv_dpto.05
Cat_013_019,26,"LA LIBERTAD ESTE",l10n_sv_dpto.05
Cat_013_020,27,"LA LIBERTAD COSTA",l10n_sv_dpto.05
Cat_013_021,28,"LA LIBERTAD SUR",l10n_sv_dpto.05
Cat_013_022,20,"SAN SALVADOR NORTE",l10n_sv_dpto.06
Cat_013_023,21,"SAN SALVADOR OESTE",l10n_sv_dpto.06
Cat_013_024,22,"SAN SALVADOR ESTE",l10n_sv_dpto.06
Cat_013_025,23,"SAN SALVADOR CENTRO",l10n_sv_dpto.06
Cat_013_026,24,"SAN SALVADOR SUR",l10n_sv_dpto.06
Cat_013_027,17,"CUSCATLÁN NORTE",l10n_sv_dpto.07
Cat_013_029,18,"CUSCATLÁN SUR",l10n_sv_dpto.07
Cat_013_030,23,"LA PAZ OESTE",l10n_sv_dpto.08
Cat_013_031,24,"LA PAZ CENTRO",l10n_sv_dpto.08
Cat_013_032,25,"LA PAZ ESTE",l10n_sv_dpto.08
Cat_013_033,10,"CABAÑAS OESTE",l10n_sv_dpto.09
Cat_013_034,11,"CABAÑAS ESTE",l10n_sv_dpto.09
Cat_013_035,14,"SAN VICENTE NORTE",l10n_sv_dpto.10
Cat_013_036,15,"SAN VICENTE SUR",l10n_sv_dpto.10
Cat_013_037,24,"USULUTÁN NORTE",l10n_sv_dpto.11
Cat_013_038,25,"USULUTÁN ESTE",l10n_sv_dpto.11
Cat_013_039,26,"USULUTÁN OESTE",l10n_sv_dpto.11
Cat_013_040,21,"SAN MIGUEL NORTE",l10n_sv_dpto.12
Cat_013_041,22,"SAN MIGUEL CENTRO",l10n_sv_dpto.12
Cat_013_042,23,"SAN MIGUEL OESTE",l10n_sv_dpto.12
Cat_013_043,27,"MORAZÁN NORTE",l10n_sv_dpto.13
Cat_013_044,28,"MORAZÁN SUR",l10n_sv_dpto.13
Cat_013_045,19,"LA UNIÓN NORTE",l10n_sv_dpto.14
Cat_013_046,20,"LA UNIÓN SUR",l10n_sv_dpto.14
