id,codigo,valores
Cat_027_01,01,Terrestre San Bartolo 
Cat_027_02,02,Marítima de Acajutla
Cat_027_03,03,Aérea De Comalapa
Cat_027_04,04,Terrestre Las Chinamas
Cat_027_05,05,Terrestre La Hachadura
Cat_027_06,06,Terrestre Santa Ana
Cat_027_07,07,Terrestre San Cristóbal
Cat_027_08,08,Terrestre Anguiatú
Cat_027_09,09,Terrestre El Amatillo
Cat_027_10,10,Marítima La Unión
Cat_027_11,11,Terrestre El Poy
Cat_027_12,12,Aduana Terrestre Metalío
Cat_027_15,15,Fardos Postales
Cat_027_16,16,Z.F. San Marcos
Cat_027_17,17,Z.F. El Pedregal
Cat_027_18,18,Z.F. San Bartolo
Cat_027_20,20,Z.F. Exportsalva
Cat_027_21,21,Z.F. American Park
Cat_027_23,23,Z.F. Internacional
Cat_027_24,24,Z.F. Diez
Cat_027_26,26,Z.F. Miramar
Cat_027_27,27,Z.F. Santo Tomas
Cat_027_28,28,Z.F. Santa Tecla
Cat_027_29,29,Z.F. Santa Ana
Cat_027_30,30,Z.F. La Concordia
Cat_027_31,31,Aérea Ilopango
Cat_027_32,32,Z.F. Pipil
Cat_027_33,33,Puerto Barillas
Cat_027_34,34,Z.F. Calvo Conservas
Cat_027_35,35,Feria Internacional
Cat_027_36,36,Aduana El Papalón
Cat_027_37,37,Z.F. Sam-Li
Cat_027_38,38,Z.F. San José
Cat_027_39,39,Z.F. Las Mercedes
Cat_027_71,71,Aldesa
Cat_027_72,72,Agdosa Merliot
Cat_027_73,73,Bodesa
Cat_027_76,76,Delegacion DHL
Cat_027_77,77,Transauto
Cat_027_80,80,Nejapa
Cat_027_81,81,Almaconsa
Cat_027_83,83,Agdosa Apopa
Cat_027_85,85,Gutiérrez Courier Y Cargo
Cat_027_99,99,San Bartolo Envío Hn/Gt
