id,code,name,dpto_id/id
Cat_013_001,00,"Otro País",l10n_sv_dpto.00
Cat_013_002,01,"AHUACHAPÁN",l10n_sv_dpto.01
Cat_013_003,02,"APANECA",l10n_sv_dpto.01
Cat_013_004,03,"ATIQUIZAYA",l10n_sv_dpto.01
Cat_013_005,04,"CONCEPCIÓN DE ATACO",l10n_sv_dpto.01
Cat_013_006,05,"EL REFUGIO",l10n_sv_dpto.01
Cat_013_007,06,"GUAYMANGO",l10n_sv_dpto.01
Cat_013_008,07,"JUJUTLA",l10n_sv_dpto.01
Cat_013_009,08,"SAN FRANCISCO MENÉNDEZ",l10n_sv_dpto.01
Cat_013_010,09,"SAN LORENZO",l10n_sv_dpto.01
Cat_013_011,10,"SAN PEDRO PUXTLA",l10n_sv_dpto.01
Cat_013_012,11,"TACUBA",l10n_sv_dpto.01
Cat_013_013,12,"TURÍN",l10n_sv_dpto.01
Cat_013_014,01,"CANDELARIA DE LA FRONTERA",l10n_sv_dpto.02
Cat_013_015,02,"COATEPEQUE",l10n_sv_dpto.02
Cat_013_016,03,"CHALCHUAPA",l10n_sv_dpto.02
Cat_013_017,04,"EL CONGO",l10n_sv_dpto.02
Cat_013_018,05,"EL PORVENIR",l10n_sv_dpto.02
Cat_013_019,06,"MASAHUAT",l10n_sv_dpto.02
Cat_013_020,07,"METAPÁN",l10n_sv_dpto.02
Cat_013_021,08,"SAN ANTONIO PAJONAL",l10n_sv_dpto.02
Cat_013_022,09,"SAN SEBASTIÁN SALITRILLO",l10n_sv_dpto.02
Cat_013_023,10,"SANTA ANA",l10n_sv_dpto.02
Cat_013_024,11,"STA ROSA GUACHI",l10n_sv_dpto.02
Cat_013_025,12,"STGO D LA FRONT",l10n_sv_dpto.02
Cat_013_026,13,"TEXISTEPEQUE",l10n_sv_dpto.02
Cat_013_027,01,"ACAJUTLA",l10n_sv_dpto.03
Cat_013_028,02,"ARMENIA",l10n_sv_dpto.03
